BASE_LAYER
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,16,3,3,3,3,3,3,3,3,3,3,3,3,17,1
1,12,1,1,1,1,1,1,1,1,1,1,1,1,13,1
1,12,1,1,1,1,1,1,1,1,1,1,1,1,13,1
1,12,1,1,1,1,1,1,1,1,1,1,1,1,13,1
1,12,1,1,1,1,1,1,1,1,1,1,1,1,13,1
1,12,1,1,1,1,1,1,1,1,1,1,1,1,13,1
1,12,1,1,1,1,1,1,1,1,1,1,1,1,13,1
1,14,2,2,2,2,2,2,2,2,2,2,1,3,15,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OVERLAY_LAYER
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,11,11,9,0,0
0,0,0,0,0,0,0,10,0,0,0,0,11,9,0,0
0,0,8,8,8,0,0,10,0,0,0,0,0,9,0,0
0,0,7,7,7,0,0,10,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
